date,apartment,State,DMA,Full
2019-08-01,19,IN,Ft. Wayne ,Ft. Wayne IN
2019-09-01,16,IN,Ft. Wayne ,Ft. Wayne IN
2019-10-01,17,IN,Ft. Wayne ,Ft. Wayne IN
2019-11-01,17,IN,Ft. Wayne ,Ft. Wayne IN
2019-12-01,14,IN,Ft. Wayne ,Ft. Wayne IN
2020-01-01,19,IN,Ft. Wayne ,Ft. Wayne IN
2020-02-01,21,IN,Ft. Wayne ,Ft. Wayne IN
2020-03-01,16,IN,Ft. Wayne ,Ft. Wayne IN
2020-04-01,16,IN,Ft. Wayne ,Ft. Wayne IN
2020-05-01,23,IN,Ft. Wayne ,Ft. Wayne IN
2020-06-01,21,IN,Ft. Wayne ,Ft. Wayne IN
2020-07-01,24,IN,Ft. Wayne ,Ft. Wayne IN
2020-08-01,16,IN,Ft. Wayne ,Ft. Wayne IN
2020-09-01,19,IN,Ft. Wayne ,Ft. Wayne IN
2020-10-01,19,IN,Ft. Wayne ,Ft. Wayne IN
2020-11-01,16,IN,Ft. Wayne ,Ft. Wayne IN
2020-12-01,20,IN,Ft. Wayne ,Ft. Wayne IN
