,date,inmigracion,State
770,2017-03-01,4,AL
771,2017-04-01,2,AL
772,2017-05-01,0,AL
773,2017-06-01,3,AL
774,2017-07-01,0,AL
775,2017-08-01,3,AL
776,2017-09-01,0,AL
777,2017-10-01,3,AL
778,2017-11-01,0,AL
779,2017-12-01,0,AL
780,2018-01-01,3,AL
781,2018-02-01,0,AL
782,2018-03-01,3,AL
783,2018-04-01,2,AL
784,2018-05-01,3,AL
785,2018-06-01,5,AL
786,2018-07-01,2,AL
787,2018-08-01,4,AL
788,2018-09-01,2,AL
789,2018-10-01,4,AL
790,2018-11-01,2,AL
791,2018-12-01,0,AL
792,2019-01-01,0,AL
793,2019-02-01,2,AL
794,2019-03-01,0,AL
795,2019-04-01,4,AL
796,2019-05-01,4,AL
797,2019-06-01,0,AL
798,2019-07-01,2,AL
799,2019-08-01,2,AL
800,2019-09-01,0,AL
801,2019-10-01,0,AL
802,2019-11-01,0,AL
803,2019-12-01,0,AL
804,2020-01-01,3,AL
805,2020-02-01,2,AL
806,2020-03-01,2,AL
807,2020-04-01,3,AL
808,2020-05-01,2,AL
809,2020-06-01,0,AL
810,2020-07-01,0,AL
811,2020-08-01,3,AL
812,2020-09-01,0,AL
813,2020-10-01,6,AL
814,2020-11-01,5,AL
815,2020-12-01,0,AL
816,2004-01-01,0,NC
817,2004-02-01,100,NC
818,2004-03-01,0,NC
819,2004-04-01,0,NC
820,2004-05-01,0,NC
821,2004-06-01,0,NC
822,2004-07-01,0,NC
823,2004-08-01,0,NC
824,2004-09-01,66,NC
825,2004-10-01,0,NC
826,2004-11-01,49,NC
827,2004-12-01,0,NC
828,2005-01-01,0,NC
829,2005-02-01,58,NC
830,2005-03-01,0,NC
831,2005-04-01,52,NC
832,2005-05-01,0,NC
833,2005-06-01,0,NC
834,2005-07-01,67,NC
835,2005-08-01,0,NC
836,2005-09-01,0,NC
837,2005-10-01,0,NC
838,2005-11-01,0,NC
839,2005-12-01,0,NC
840,2006-01-01,0,NC
841,2006-02-01,32,NC
842,2006-03-01,48,NC
843,2006-04-01,0,NC
844,2006-05-01,27,NC
845,2006-06-01,0,NC
846,2006-07-01,47,NC
847,2006-08-01,20,NC
848,2006-09-01,0,NC
849,2006-10-01,0,NC
850,2006-11-01,39,NC
851,2006-12-01,25,NC
852,2007-01-01,0,NC
853,2007-02-01,21,NC
854,2007-03-01,0,NC
855,2007-04-01,0,NC
856,2007-05-01,0,NC
857,2007-06-01,0,NC
858,2007-07-01,0,NC
859,2007-08-01,0,NC
860,2007-09-01,41,NC
861,2007-10-01,0,NC
862,2007-11-01,0,NC
863,2007-12-01,22,NC
864,2008-01-01,15,NC
865,2008-02-01,23,NC
866,2008-03-01,35,NC
867,2008-04-01,0,NC
868,2008-05-01,19,NC
869,2008-06-01,0,NC
870,2008-07-01,0,NC
871,2008-08-01,0,NC
872,2008-09-01,0,NC
873,2008-10-01,0,NC
874,2008-11-01,14,NC
875,2008-12-01,0,NC
876,2009-01-01,30,NC
877,2009-02-01,17,NC
878,2009-03-01,21,NC
879,2009-04-01,0,NC
880,2009-05-01,18,NC
881,2009-06-01,0,NC
882,2009-07-01,0,NC
883,2009-08-01,16,NC
884,2009-09-01,0,NC
885,2009-10-01,11,NC
886,2009-11-01,0,NC
887,2009-12-01,35,NC
888,2010-01-01,0,NC
889,2010-02-01,0,NC
890,2010-03-01,9,NC
891,2010-04-01,39,NC
892,2010-05-01,27,NC
893,2010-06-01,18,NC
894,2010-07-01,12,NC
895,2010-08-01,0,NC
896,2010-09-01,17,NC
897,2010-10-01,19,NC
898,2010-11-01,0,NC
899,2010-12-01,25,NC
900,2011-01-01,24,NC
901,2011-02-01,10,NC
902,2011-03-01,8,NC
903,2011-04-01,9,NC
904,2011-05-01,10,NC
905,2011-06-01,35,NC
906,2011-07-01,11,NC
907,2011-08-01,15,NC
908,2011-09-01,19,NC
909,2011-10-01,14,NC
910,2011-11-01,12,NC
911,2011-12-01,17,NC
912,2012-01-01,33,NC
913,2012-02-01,11,NC
914,2012-03-01,16,NC
915,2012-04-01,9,NC
916,2012-05-01,9,NC
917,2012-06-01,26,NC
918,2012-07-01,15,NC
919,2012-08-01,21,NC
920,2012-09-01,19,NC
921,2012-10-01,18,NC
922,2012-11-01,18,NC
923,2012-12-01,14,NC
924,2013-01-01,22,NC
925,2013-02-01,20,NC
926,2013-03-01,16,NC
927,2013-04-01,30,NC
928,2013-05-01,22,NC
929,2013-06-01,17,NC
930,2013-07-01,32,NC
931,2013-08-01,23,NC
932,2013-09-01,17,NC
933,2013-10-01,16,NC
934,2013-11-01,10,NC
935,2013-12-01,6,NC
936,2014-01-01,16,NC
937,2014-02-01,13,NC
938,2014-03-01,15,NC
939,2014-04-01,15,NC
940,2014-05-01,23,NC
941,2014-06-01,17,NC
942,2014-07-01,21,NC
943,2014-08-01,20,NC
944,2014-09-01,22,NC
945,2014-10-01,13,NC
946,2014-11-01,35,NC
947,2014-12-01,14,NC
948,2015-01-01,23,NC
949,2015-02-01,11,NC
950,2015-03-01,23,NC
951,2015-04-01,10,NC
952,2015-05-01,14,NC
953,2015-06-01,7,NC
954,2015-07-01,20,NC
955,2015-08-01,10,NC
956,2015-09-01,18,NC
957,2015-10-01,9,NC
958,2015-11-01,13,NC
959,2015-12-01,9,NC
960,2016-01-01,48,NC
961,2016-02-01,21,NC
962,2016-03-01,14,NC
963,2016-04-01,11,NC
964,2016-05-01,13,NC
965,2016-06-01,23,NC
966,2016-07-01,11,NC
967,2016-08-01,12,NC
968,2016-09-01,17,NC
969,2016-10-01,13,NC
970,2016-11-01,19,NC
971,2016-12-01,11,NC
972,2017-01-01,15,NC
973,2017-02-01,49,NC
974,2017-03-01,24,NC
975,2017-04-01,14,NC
976,2017-05-01,13,NC
977,2017-06-01,18,NC
978,2017-07-01,18,NC
979,2017-08-01,15,NC
980,2017-09-01,14,NC
